Date,Avg,Avg(A),Avg(B),Avg(C)
2024/9/3 00:45,24.936,29.288,23.604,22.281
2024/9/3 00:46,24.807,29.006,24.129,21.614
2024/9/3 00:47,24.943,29.147,23.79,22.252
2024/9/3 00:48,24.626,28.939,23.521,21.747
2024/9/3 00:49,24.817,29.126,23.853,21.848
2024/9/3 00:50,24.916,29.131,23.717,22.237
2024/9/3 00:51,24.696,28.873,23.749,21.802
2024/9/3 00:52,24.719,29.192,23.55,21.802
2024/9/3 00:53,24.846,28.99,23.8,22.038
2024/9/3 00:54,24.665,29.067,23.463,21.824
2024/9/3 00:55,24.79,29.091,23.843,21.802
2024/9/3 00:56,24.873,28.934,23.73,22.264
2024/9/3 00:57,24.753,29.176,23.756,21.718
2024/9/3 00:58,24.652,28.87,23.5,21.913
2024/9/3 00:59,24.691,29.259,23.553,21.636
2024/9/3 01:00,24.768,28.867,23.919,21.838
2024/9/3 01:01,24.717,29.054,23.382,22.062
2024/9/3 01:02,24.681,29.096,23.689,21.619
2024/9/3 01:03,24.74,29.102,23.401,22.1
2024/9/3 01:04,24.683,28.929,23.737,21.703
2024/9/3 01:05,24.685,28.798,23.933,21.662
2024/9/3 01:06,24.635,29.163,23.325,21.79
2024/9/3 01:07,24.705,29.035,23.668,21.754
2024/9/3 01:08,24.609,29.144,23.442,21.629
2024/9/3 01:09,24.676,28.947,23.405,22.016
2024/9/3 01:10,24.511,28.974,23.495,21.429
2024/9/3 01:11,24.736,28.899,23.525,22.107
2024/9/3 01:12,24.622,28.977,23.615,21.614
2024/9/3 01:13,24.568,28.766,23.511,21.78
2024/9/3 01:14,24.662,28.971,23.657,21.715
2024/9/3 01:15,24.706,28.761,23.832,21.824
2024/9/3 01:16,24.691,29.12,23.71,21.609
2024/9/3 01:17,24.701,28.886,23.477,22.091
2024/9/3 01:18,24.689,29.099,23.703,21.6
2024/9/3 01:19,24.745,28.705,23.977,21.864
2024/9/3 01:20,24.65,29.219,23.292,21.807
2024/9/3 01:21,24.684,28.859,23.774,21.71
2024/9/3 01:22,24.719,29.15,23.599,21.795
2024/9/3 01:23,24.905,29.032,23.77,22.237
2024/9/3 01:24,24.607,28.918,23.788,21.456
2024/9/3 01:25,24.828,29.024,23.793,22.026
2024/9/3 01:26,24.758,28.977,23.776,21.821
2024/9/3 01:27,24.73,29.03,23.825,21.689
2024/9/3 01:28,24.861,29.078,23.689,22.158
2024/9/3 01:29,24.704,28.883,23.765,21.797
2024/9/3 01:30,24.834,29.064,23.936,21.884
2024/9/3 01:31,24.792,29.019,23.666,22.03
2024/9/3 01:32,24.628,29.123,23.172,21.965
2024/9/3 01:33,24.887,29.222,23.908,21.905
2024/9/3 01:34,24.646,28.921,23.274,22.086
2024/9/3 01:35,24.829,29.136,23.765,21.934
2024/9/3 01:36,24.823,29.003,23.873,21.932
2024/9/3 01:37,24.947,29.051,23.813,22.305
2024/9/3 01:38,24.781,28.982,23.832,21.874
2024/9/3 01:39,24.675,28.851,23.64,21.888
2024/9/3 01:40,24.901,29.096,23.629,22.319
2024/9/3 01:41,24.811,29.088,24,21.679
2024/9/3 01:42,24.74,29.128,23.583,21.884
2024/9/3 01:43,24.985,29.062,23.818,22.389
2024/9/3 01:44,24.853,28.979,24.095,21.809
2024/9/3 01:45,24.747,29.064,23.723,21.816
2024/9/3 01:46,24.88,28.899,23.786,22.259
2024/9/3 01:47,24.782,29.009,23.795,21.872
2024/9/3 01:48,24.752,29.158,23.608,21.867
2024/9/3 01:49,24.799,28.921,23.753,22.057
2024/9/3 01:50,24.694,28.945,23.493,21.992
2024/9/3 01:51,24.681,29.131,23.675,21.617
2024/9/3 01:52,24.902,29.07,23.926,22.05
2024/9/3 01:53,24.712,29.163,23.35,21.977
2024/9/3 01:54,24.616,29.067,23.389,21.778
2024/9/3 01:55,24.802,28.881,23.931,21.929
2024/9/3 01:56,24.413,28.833,22.794,21.92
2024/9/3 01:57,24.73,29.251,23.749,21.576
2024/9/3 01:58,24.853,28.83,23.864,22.158
2024/9/3 01:59,24.544,29.096,23.417,21.489
2024/9/3 02:01,24.815,29.184,23.659,21.956
2024/9/3 02:02,24.811,29.059,23.733,21.985
2024/9/3 02:03,24.696,29.022,23.857,21.6
2024/9/3 02:04,24.835,29.147,23.606,22.086
2024/9/3 02:05,24.569,29.104,23.364,21.612
2024/9/3 02:06,24.919,28.715,24.175,22.177
2024/9/3 02:07,24.747,29.168,23.38,22.047
2024/9/3 02:08,24.669,29.075,23.477,21.826
2024/9/3 02:09,24.816,28.955,23.91,21.922
2024/9/3 02:10,24.792,29.067,23.403,22.249
2024/9/3 02:11,24.737,29.294,23.7,21.59
2024/9/3 02:12,24.892,29.059,23.834,22.122
2024/9/3 02:13,24.797,29.059,23.514,22.16
2024/9/3 02:14,24.807,28.947,23.915,21.874
2024/9/3 02:15,24.924,29.283,23.53,22.317
2024/9/3 02:16,24.829,29.064,23.721,22.026
2024/9/3 02:17,24.918,29.19,23.952,22.009
2024/9/3 02:18,24.884,29.243,23.691,22.086
2024/9/3 02:19,24.742,29.038,23.461,22.057
2024/9/3 02:20,24.766,29.024,23.908,21.737
2024/9/3 02:21,24.972,29.152,23.643,22.451
2024/9/3 02:22,24.522,28.963,23.094,21.884
2024/9/3 02:23,24.865,29.216,23.744,22.026
2024/9/3 02:24,24.829,28.934,23.666,22.208
2024/9/3 02:25,24.845,29.187,23.756,21.963
2024/9/3 02:26,24.785,29.078,23.919,21.708
2024/9/3 02:27,24.927,28.998,23.68,22.427
2024/9/3 02:28,24.788,29.198,23.82,21.703
2024/9/3 02:29,24.781,28.894,23.848,21.929
2024/9/3 02:30,24.827,29.208,23.504,22.146
2024/9/3 02:31,24.881,29.12,23.938,21.92
2024/9/3 02:32,24.683,28.934,23.855,21.605
2024/9/3 02:33,24.794,29.184,23.553,22.002
2024/9/3 02:34,24.799,28.726,23.806,22.136
2024/9/3 02:35,24.721,29.12,23.783,21.636
2024/9/3 02:36,24.611,29.08,23.23,21.915
2024/9/3 02:37,24.738,28.902,23.613,22.023
2024/9/3 02:38,24.816,29.363,23.608,21.888
2024/9/3 02:39,24.816,28.974,23.601,22.182
2024/9/3 02:40,24.665,29.099,23.629,21.631
2024/9/3 02:41,24.689,29.064,23.548,21.838
2024/9/3 02:42,24.772,28.91,23.675,22.03
2024/9/3 02:43,24.547,28.937,23.205,21.84
2024/9/3 02:44,24.792,29.083,23.763,21.881
2024/9/3 02:45,24.847,28.974,23.638,22.244
2024/9/3 02:46,24.778,29.08,23.968,21.634
2024/9/3 02:47,24.734,28.814,23.518,22.204
2024/9/3 02:48,24.637,29.2,23.467,21.621
2024/9/3 02:49,24.814,28.774,23.942,22.05
2024/9/3 02:50,24.704,29.211,23.253,22.018
2024/9/3 02:51,24.845,29.192,23.836,21.872
2024/9/3 02:52,24.674,28.905,23.472,21.985
2024/9/3 02:53,24.907,29.251,23.59,22.235
2024/9/3 02:54,24.757,28.998,23.97,21.638
2024/9/3 02:55,24.864,29.118,23.541,22.302
2024/9/3 02:56,24.826,29.339,23.592,21.91
2024/9/3 02:57,24.817,28.849,24.263,21.65
2024/9/3 02:58,24.735,29.422,23.371,21.809
2024/9/3 02:59,24.849,29.182,23.59,22.129
2024/9/3 03:00,24.783,29.174,23.839,21.694
2024/9/3 03:01,24.592,29.222,23.352,21.595
2024/9/3 03:02,24.915,29.139,23.652,22.29
2024/9/3 03:03,24.767,29.04,23.793,21.809
2024/9/3 03:04,24.87,29.009,23.756,22.208
2024/9/3 03:05,24.796,28.889,23.682,22.122
2024/9/3 03:06,24.645,29.16,23.274,21.888
2024/9/3 03:07,24.929,29.078,23.915,22.139
2024/9/3 03:08,24.809,29.099,23.733,21.927
2024/9/3 03:09,24.794,29.192,23.691,21.872
2024/9/3 03:10,24.794,29.048,23.525,22.139
2024/9/3 03:11,24.873,29.272,23.806,21.91
2024/9/3 03:12,24.845,28.838,23.866,22.16
2024/9/3 03:13,24.865,29.307,23.493,22.16
2024/9/3 03:14,24.819,29.227,23.693,21.915
2024/9/3 03:15,24.748,28.915,23.737,21.925
2024/9/3 03:16,24.829,29.107,23.456,22.264
2024/9/3 03:17,24.657,28.926,23.825,21.554
2024/9/3 03:18,24.795,29.211,23.281,22.259
2024/9/3 03:19,24.734,28.875,23.917,21.727
2024/9/3 03:20,24.666,29.259,23.336,21.804
2024/9/3 03:21,24.778,29.126,23.479,22.069
2024/9/3 03:22,24.737,29.126,23.846,21.593
2024/9/3 03:23,24.811,28.955,23.873,21.953
2024/9/3 03:24,24.663,28.814,23.426,22.064
2024/9/3 03:25,24.784,29.278,23.793,21.667
2024/9/3 03:26,24.81,28.83,23.721,22.204
2024/9/3 03:27,24.596,29.088,23.364,21.706
2024/9/3 03:28,24.755,28.913,23.913,21.795
2024/9/3 03:29,24.775,28.889,23.645,22.112
2024/9/3 03:30,24.408,28.977,22.882,21.727
2024/9/3 03:31,24.68,29.006,23.751,21.641
2024/9/3 03:32,24.81,29.083,23.412,22.273
2024/9/3 03:33,24.519,28.777,23.746,21.33
2024/9/3 03:34,24.945,29.206,23.64,22.374
2024/9/3 03:35,24.534,29.134,23.119,21.742
2024/9/3 03:36,24.854,28.873,23.836,22.206
2024/9/3 03:37,24.775,29.136,23.705,21.821
2024/9/3 03:38,24.587,28.923,23.359,21.848
2024/9/3 03:39,24.922,29.203,23.712,22.206
2024/9/3 03:40,24.837,28.758,23.915,22.105
2024/9/3 03:41,24.727,29.288,23.504,21.783
2024/9/3 03:42,24.818,28.747,23.726,22.254
2024/9/3 03:43,24.717,29.235,23.604,21.682
2024/9/3 03:44,24.919,28.851,24.007,22.228
2024/9/3 03:45,24.624,29.115,23.315,21.814
2024/9/3 03:46,24.665,29.187,23.412,21.78
2024/9/3 03:47,24.831,29.03,23.673,22.098
2024/9/3 03:48,24.791,29.139,23.892,21.694
2024/9/3 03:49,24.81,28.838,23.779,22.146
2024/9/3 03:50,24.814,29.136,23.661,21.982
2024/9/3 03:51,24.819,29.088,23.966,21.749
2024/9/3 03:52,24.789,29.014,23.537,22.158
2024/9/3 03:53,24.836,29.208,23.569,22.095
2024/9/3 03:54,24.901,28.859,23.896,22.297
2024/9/3 03:55,24.761,29.158,23.267,22.22
2024/9/3 03:56,24.712,28.963,23.693,21.828
2024/9/3 03:57,24.807,29.134,23.647,22.026
2024/9/3 03:58,24.966,29.158,23.714,22.372
2024/9/3 03:59,24.818,28.995,24,21.826
2024/9/3 04:01,24.751,28.939,23.804,21.797
2024/9/3 04:02,24.755,29.102,23.569,21.982
2024/9/3 04:03,24.644,28.955,23.311,22.014
2024/9/3 04:04,24.666,29.123,23.601,21.646
2024/9/3 04:05,24.94,29.123,23.666,22.372
2024/9/3 04:06,24.682,29.04,23.514,21.86
2024/9/3 04:07,24.824,29.051,23.71,22.078
2024/9/3 04:08,24.793,28.99,23.608,22.119
2024/9/3 04:09,24.76,29.096,23.684,21.876
2024/9/3 04:10,24.777,28.79,23.779,22.059
2024/9/3 04:11,24.663,29.28,23.193,21.915
2024/9/3 04:12,24.714,28.993,23.832,21.646
2024/9/3 04:13,24.674,28.897,23.198,22.23
2024/9/3 04:14,24.516,28.83,23.59,21.477
2024/9/3 04:15,24.782,29.163,23.465,22.086
2024/9/3 04:16,24.681,29.027,23.77,21.578
2024/9/3 04:17,24.798,29.001,23.843,21.932
2024/9/3 04:18,24.691,29.254,23.431,21.756
2024/9/3 04:19,24.778,28.705,23.972,21.922
2024/9/3 04:20,24.738,29.275,23.652,21.677
2024/9/3 04:21,24.713,28.814,23.521,22.098
2024/9/3 04:22,24.581,28.891,23.647,21.552
2024/9/3 04:23,24.904,29.238,23.719,22.146
2024/9/3 04:24,24.773,28.937,23.906,21.775
2024/9/3 04:25,24.695,29.088,23.557,21.824
2024/9/3 04:26,24.646,28.929,23.433,21.925
2024/9/3 04:27,24.826,29.182,23.922,21.744
2024/9/3 04:28,24.664,28.753,23.587,21.989
2024/9/3 04:29,24.776,28.966,23.546,22.165
2024/9/3 04:30,24.798,29.067,23.968,21.725
2024/9/3 04:31,24.884,28.955,23.906,22.1
2024/9/3 04:32,24.757,29.262,23.608,21.759
2024/9/3 04:33,24.811,28.809,23.984,21.951
2024/9/3 04:34,24.883,29.136,23.67,22.177
2024/9/3 04:35,24.731,28.966,23.606,21.97
2024/9/3 04:36,24.893,29.216,23.553,22.295
2024/9/3 04:37,24.724,29.152,23.32,22.081
2024/9/3 04:38,24.921,29.046,24.044,22.038
2024/9/3 04:39,24.934,29.294,23.539,22.326
2024/9/3 04:40,24.597,28.849,23.232,22.035
2024/9/3 04:41,24.811,29.206,23.668,21.958
2024/9/3 04:42,24.932,28.825,24.023,22.194
2024/9/3 04:43,24.761,29.296,23.534,21.843
2024/9/3 04:44,25.041,29.067,23.876,22.492
2024/9/3 04:45,24.831,29.187,23.878,21.79
2024/9/3 04:46,24.899,29.16,23.806,22.11
2024/9/3 04:47,24.824,28.889,23.643,22.259
2024/9/3 04:48,24.714,29.12,23.608,21.792
2024/9/3 04:49,24.874,28.846,23.781,22.288
2024/9/3 04:50,24.807,28.966,23.913,21.881
2024/9/3 04:51,24.622,28.859,23.449,21.915
2024/9/3 04:52,24.845,29.112,23.486,22.285
2024/9/3 04:53,24.612,28.657,23.774,21.691
2024/9/3 04:54,24.719,29.344,23.161,22.054
2024/9/3 04:55,24.801,29.139,23.707,21.917
2024/9/3 04:56,24.855,29.136,23.634,22.17
2024/9/3 04:57,24.696,29.176,23.477,21.795
2024/9/3 04:58,24.74,28.977,23.823,21.766
2024/9/3 04:59,24.867,29.134,23.714,22.095
2024/9/3 05:01,24.69,29.2,23.574,21.674
2024/9/3 05:02,24.721,29.006,23.278,22.256
2024/9/3 05:03,24.757,29.254,23.894,21.492
2024/9/3 05:04,24.805,28.841,23.615,22.288
2024/9/3 05:05,24.6,29.131,23.341,21.71
2024/9/3 05:06,24.827,29.051,23.62,22.177
2024/9/3 05:07,24.717,28.811,23.659,21.973
2024/9/3 05:08,24.67,29.096,23.408,21.881
2024/9/3 05:09,24.721,28.985,23.606,21.91
2024/9/3 05:10,24.962,29.083,23.864,22.271
2024/9/3 05:11,24.791,29.091,23.76,21.886
2024/9/3 05:12,24.958,29.136,23.864,22.192
2024/9/3 05:13,24.644,29.16,23.491,21.648
2024/9/3 05:14,24.851,28.894,24.092,21.905
2024/9/3 05:15,24.92,29.227,23.68,22.189
2024/9/3 05:16,24.609,29.04,23.41,21.744
2024/9/3 05:17,24.736,29.208,23.516,21.852
2024/9/3 05:18,24.941,29.024,24.028,22.098
2024/9/3 05:19,24.85,29.051,24.127,21.71
2024/9/3 05:20,24.869,29.131,23.638,22.187
2024/9/3 05:21,24.974,29.102,24.06,22.076
2024/9/3 05:22,24.755,29.07,23.783,21.778
2024/9/3 05:23,24.779,28.995,23.216,22.473
2024/9/3 05:24,24.821,29.019,23.781,22.011
2024/9/3 05:25,24.854,29.198,23.82,21.927
2024/9/3 05:26,25.046,28.963,24.039,22.456
2024/9/3 05:27,24.734,28.945,23.816,21.795
2024/9/3 05:28,24.695,29.147,23.604,21.723
2024/9/3 05:29,25.101,29.256,23.903,22.475
2024/9/3 05:30,24.715,28.985,23.746,21.761
2024/9/3 05:31,24.718,29.262,23.421,21.869
2024/9/3 05:32,25.005,28.953,24.046,22.343
2024/9/3 05:33,24.846,29.23,23.73,21.934
2024/9/3 05:34,24.747,29.179,23.597,21.85
2024/9/3 05:35,24.859,28.95,23.723,22.23
2024/9/3 05:36,24.85,29.126,23.682,22.078
2024/9/3 05:37,24.8,28.995,23.864,21.872
2024/9/3 05:38,24.859,29.011,23.647,22.235
2024/9/3 05:39,24.704,29.126,23.451,21.915
2024/9/3 05:40,24.775,28.926,23.7,22.052
2024/9/3 05:41,24.747,28.915,23.76,21.879
2024/9/3 05:42,24.566,28.902,23.624,21.523
2024/9/3 05:43,24.854,29.158,23.571,22.175
2024/9/3 05:44,24.73,28.987,23.848,21.677
2024/9/3 05:45,24.721,29.048,23.606,21.891
2024/9/3 05:46,24.761,29.024,23.659,21.929
2024/9/3 05:47,24.635,28.961,23.207,22.035
2024/9/3 05:48,24.692,29.256,23.567,21.655
2024/9/3 05:49,24.736,28.926,23.523,22.095
2024/9/3 05:50,24.648,29.099,23.693,21.511
2024/9/3 05:51,24.817,28.955,23.832,22.018
2024/9/3 05:52,24.721,29.083,23.507,21.915
2024/9/3 05:53,24.602,28.929,23.341,21.9
2024/9/3 05:54,24.769,29.032,23.781,21.843
2024/9/3 05:55,24.897,29.155,23.786,22.083
2024/9/3 05:56,24.516,28.827,23.396,21.684
2024/9/3 05:57,24.902,29.046,23.677,22.324
2024/9/3 05:58,24.578,28.817,23.892,21.323
2024/9/3 05:59,24.658,29.128,23.352,21.872
2024/9/3 06:01,24.837,28.915,24.166,21.735
2024/9/3 06:02,24.881,29.2,23.726,22.103
2024/9/3 06:03,24.711,29.03,23.544,21.903
2024/9/3 06:04,24.735,29.171,23.521,21.9
2024/9/3 06:05,24.776,29.011,23.414,22.242
2024/9/3 06:06,24.808,29.24,23.873,21.682
2024/9/3 06:07,24.793,28.961,23.687,22.076
2024/9/3 06:08,24.725,29.219,23.17,22.184
2024/9/3 06:09,24.857,28.763,23.972,22.107
2024/9/3 06:10,24.889,29.198,23.546,22.259
2024/9/3 06:11,24.712,29.091,23.67,21.744
2024/9/3 06:12,24.936,29.022,23.763,22.331
2024/9/3 06:13,24.801,29.006,23.735,21.994
2024/9/3 06:14,24.856,29.139,23.82,21.982
2024/9/3 06:15,24.881,29.054,23.659,22.259
2024/9/3 06:16,24.777,28.99,23.675,21.999
2024/9/3 06:17,24.742,29.099,23.758,21.735
2024/9/3 06:18,24.789,28.907,23.567,22.196
2024/9/3 06:19,24.763,29.211,23.61,21.843
2024/9/3 06:20,24.816,28.873,23.889,22.006
2024/9/3 06:21,24.73,29.083,23.366,22.103
2024/9/3 06:22,24.623,28.979,23.371,21.891
2024/9/3 06:23,24.883,28.945,23.809,22.206
2024/9/3 06:24,24.704,28.905,23.689,21.85
2024/9/3 06:25,24.592,28.846,23.601,21.674
2024/9/3 06:26,24.809,29.152,23.472,22.143
2024/9/3 06:27,24.673,28.897,23.675,21.792
2024/9/3 06:28,24.76,29.147,23.597,21.903
2024/9/3 06:29,24.655,29.027,23.387,21.891
2024/9/3 06:30,24.713,28.838,23.813,21.804
2024/9/3 06:31,24.829,29.171,23.714,21.958
2024/9/3 06:32,24.654,28.966,23.41,21.915
2024/9/3 06:33,24.461,29.246,23.11,21.436
2024/9/3 06:34,24.781,28.875,23.703,22.081
2024/9/3 06:35,24.647,29.198,23.714,21.41
2024/9/3 06:36,24.597,29.014,23.186,21.951
2024/9/3 06:37,24.614,29.134,23.592,21.475
2024/9/3 06:38,24.875,28.867,24.007,22.093
2024/9/3 06:39,24.541,29.035,23.188,21.773
2024/9/3 06:40,24.687,28.963,23.562,21.9
2024/9/3 06:41,24.668,29.017,23.481,21.879
2024/9/3 06:42,24.808,29.064,23.617,22.091
2024/9/3 06:43,24.734,29.035,23.848,21.703
2024/9/3 06:44,24.737,29.07,23.421,22.062
2024/9/3 06:45,24.583,28.974,23.687,21.412
2024/9/3 06:46,24.867,28.907,23.795,22.225
2024/9/3 06:47,24.596,29.184,23.523,21.422
2024/9/3 06:48,24.738,29.032,23.698,21.855
2024/9/3 06:49,24.771,29.003,23.594,22.014
2024/9/3 06:50,24.493,29.019,23.38,21.484
2024/9/3 06:51,24.955,28.971,23.779,22.461
2024/9/3 06:52,24.76,29.102,23.594,21.941
2024/9/3 06:53,24.95,29.107,23.869,22.237
2024/9/3 06:54,24.682,29.112,23.389,21.905
2024/9/3 06:55,24.776,28.969,23.76,21.956
2024/9/3 06:56,24.833,28.95,23.772,22.1
2024/9/3 06:57,24.682,28.955,23.62,21.821
2024/9/3 06:58,24.613,28.926,23.454,21.795
2024/9/3 06:59,24.717,29.139,23.562,21.811
2024/9/3 07:00,24.781,29.158,23.447,22.136
2024/9/3 07:01,24.609,29.139,23.103,21.97
2024/9/3 07:02,24.773,29.07,23.673,21.953
2024/9/3 07:03,24.863,29.064,23.65,22.232
2024/9/3 07:04,24.785,29.003,23.896,21.807
2024/9/3 07:05,24.705,28.977,23.29,22.206
2024/9/3 07:06,24.809,29.022,23.903,21.845
2024/9/3 07:07,24.999,29.182,23.975,22.199
2024/9/3 07:08,24.709,28.886,23.71,21.85
2024/9/3 07:09,24.706,29.315,23.408,21.795
2024/9/3 07:10,24.784,29.019,23.567,22.1
2024/9/3 07:11,24.827,29.31,23.839,21.715
2024/9/3 07:12,24.848,29.08,23.71,22.093
2024/9/3 07:13,24.686,29.227,23.514,21.698
2024/9/3 07:14,24.871,28.966,23.8,22.184
2024/9/3 07:15,24.823,29.28,23.751,21.799
2024/9/3 07:16,24.725,29.214,23.638,21.698
2024/9/3 07:17,24.861,28.985,23.687,22.244
2024/9/3 07:18,24.771,29.211,23.696,21.79
2024/9/3 07:19,24.681,28.803,23.557,21.994
2024/9/3 07:20,24.653,29.288,23.308,21.759
2024/9/3 07:21,24.761,29.091,23.663,21.92
2024/9/3 07:22,24.779,28.995,23.666,22.002
2024/9/3 07:23,24.716,29.006,23.444,22.03
2024/9/3 07:24,24.617,28.902,23.488,21.799
2024/9/3 07:25,24.595,28.974,23.2,21.961
2024/9/3 07:26,23.608,24.887,23.61,22.05
2024/9/3 07:27,24.541,29.051,23.126,21.826
2024/9/3 07:28,24.812,29.36,23.781,21.696
2024/9/3 07:29,24.891,29.027,23.592,22.41
2024/9/3 07:30,24.602,29.048,23.497,21.636
2024/9/3 07:31,24.846,28.979,23.889,22.028
2024/9/3 07:32,24.815,29.112,23.467,22.194
2024/9/3 07:33,24.863,29.112,23.906,21.915
2024/9/3 07:34,24.729,28.926,24.007,21.585
2024/9/3 07:35,24.777,28.993,23.437,22.247
2024/9/3 07:36,24.686,29.222,23.491,21.72
2024/9/3 07:37,24.851,28.891,23.855,22.155
2024/9/3 07:38,24.688,29.227,22.995,22.22
2024/9/3 07:39,24.729,28.774,23.975,21.72
2024/9/3 07:40,24.933,29.216,23.753,22.187
2024/9/3 07:41,24.684,28.974,23.359,22.076
2024/9/3 07:42,24.8,29.262,23.647,21.893
2024/9/3 07:43,24.845,28.814,23.926,22.098
2024/9/3 07:44,24.712,29.128,23.433,21.946
2024/9/3 07:45,24.924,29.006,23.936,22.17
2024/9/3 07:46,24.846,29.014,23.636,22.216
2024/9/3 07:47,24.821,29.022,23.913,21.879
2024/9/3 07:48,24.773,28.819,23.431,22.37
2024/9/3 07:49,24.699,29.035,23.405,22.018
2024/9/3 07:50,24.889,29.062,23.721,22.228
2024/9/3 07:51,24.853,29.11,23.781,22.011
2024/9/3 07:52,24.762,29.024,23.73,21.874
2024/9/3 07:53,24.841,29.176,23.424,22.273
2024/9/3 07:54,24.777,28.886,23.8,21.97
2024/9/3 07:55,24.77,29.094,23.525,22.05
2024/9/3 07:56,24.72,29.195,23.177,22.165
2024/9/3 07:57,24.801,29.243,23.873,21.662
2024/9/3 07:58,24.942,29.136,23.774,22.283
2024/9/3 07:59,24.717,28.99,23.763,21.747
2024/9/3 08:00,24.829,29.11,23.652,22.098
2024/9/3 08:01,24.793,28.969,23.753,21.999
2024/9/3 08:02,24.916,29.23,23.869,22.021
2024/9/3 08:03,24.571,28.795,23.35,21.898
2024/9/3 08:04,24.682,29.238,23.502,21.691
2024/9/3 08:05,24.849,28.995,23.783,22.103
2024/9/3 08:06,24.679,29.144,23.269,22.009
2024/9/3 08:07,24.627,28.91,23.636,21.696
2024/9/3 08:08,24.914,29.174,23.813,22.076
2024/9/3 08:09,24.712,29.262,23.594,21.65
2024/9/3 08:10,24.687,28.931,23.58,21.91
2024/9/3 08:11,24.763,29.064,23.64,21.913
2024/9/3 08:12,24.79,29.134,23.599,21.987
2024/9/3 08:13,24.779,29.142,23.666,21.913
2024/9/3 08:14,24.601,28.985,22.96,22.194
2024/9/3 08:15,24.766,29.166,23.689,21.811
2024/9/3 08:16,24.84,28.937,23.606,22.321
2024/9/3 08:17,24.76,29.001,23.767,21.84
2024/9/3 08:18,24.73,28.955,23.781,21.814
2024/9/3 08:19,24.854,29.254,23.617,22.033
2024/9/3 08:20,24.875,28.886,24.157,21.893
2024/9/3 08:21,24.671,29.251,23.486,21.66
2024/9/3 08:22,24.908,29.019,23.989,22.028
2024/9/3 08:23,24.764,29.336,23.744,21.617
2024/9/3 08:24,24.957,29.099,23.714,22.391
2024/9/3 08:25,24.686,28.985,23.675,21.737
2024/9/3 08:26,24.698,29.131,23.412,21.958
2024/9/3 08:27,24.891,28.905,23.834,22.206
2024/9/3 08:28,24.758,29.102,23.758,21.785
2024/9/3 08:29,24.68,29.078,23.285,22.028
2024/9/3 08:30,24.916,29.134,23.963,21.977
2024/9/3 08:31,24.971,29.147,24.026,22.103
2024/9/3 08:32,24.73,29.144,23.281,22.122
2024/9/3 08:33,24.701,29.088,23.624,21.754
2024/9/3 08:34,24.953,29.136,23.804,22.271
2024/9/3 08:35,24.652,29.147,23.205,21.985
2024/9/3 08:36,24.754,29.048,23.843,21.737
2024/9/3 08:37,24.922,29.104,23.534,22.459
2024/9/3 08:38,24.709,28.734,23.975,21.725
2024/9/3 08:39,25.049,29.144,23.843,22.487
